symbol,exchange,timestamp,funding_rate
ZRXUSDT,gateio,2025-06-19T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-19T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-19T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-19T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-18T16:00:00Z,0.000064
ZRXUSDT,bitget,2025-06-18T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-18T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-18T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-18T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-18T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-17T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-17T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-17T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-17T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-17T00:00:00Z,0.000005
ZRXUSDT,bitget,2025-06-17T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-16T16:00:00Z,-0.000129
ZRXUSDT,bitget,2025-06-16T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-16T08:00:00Z,-0.000083
ZRXUSDT,bitget,2025-06-16T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-16T00:00:00Z,-0.000001
ZRXUSDT,bitget,2025-06-16T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-15T16:00:00Z,0.000069
ZRXUSDT,bitget,2025-06-15T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-15T08:00:00Z,0.000004
ZRXUSDT,bitget,2025-06-15T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-15T00:00:00Z,-0.000044
ZRXUSDT,bitget,2025-06-15T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-14T16:00:00Z,0.000035
ZRXUSDT,bitget,2025-06-14T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-14T08:00:00Z,0.000026
ZRXUSDT,bitget,2025-06-14T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-14T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-14T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-13T16:00:00Z,-0.00011
ZRXUSDT,bitget,2025-06-13T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-13T08:00:00Z,0.000052
ZRXUSDT,bitget,2025-06-13T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-13T00:00:00Z,-0.000047
ZRXUSDT,bitget,2025-06-13T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-12T16:00:00Z,0.000006
ZRXUSDT,bitget,2025-06-12T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-12T08:00:00Z,0.000008
ZRXUSDT,bitget,2025-06-12T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-12T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-12T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-11T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-11T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-11T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-11T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-11T00:00:00Z,-0.000014
ZRXUSDT,bitget,2025-06-11T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-10T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-10T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-10T08:00:00Z,0.000065
ZRXUSDT,bitget,2025-06-10T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-10T00:00:00Z,-0.000001
ZRXUSDT,bitget,2025-06-10T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-09T16:00:00Z,0.000088
ZRXUSDT,bitget,2025-06-09T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-09T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-09T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-09T00:00:00Z,-0.000411
ZRXUSDT,bitget,2025-06-09T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-08T16:00:00Z,-0.000016
ZRXUSDT,bitget,2025-06-08T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-08T08:00:00Z,-0.000052
ZRXUSDT,bitget,2025-06-08T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-08T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-08T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-07T16:00:00Z,0.000058
ZRXUSDT,bitget,2025-06-07T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-07T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-07T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-07T00:00:00Z,0.000011
ZRXUSDT,bitget,2025-06-07T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-06T16:00:00Z,0.000052
ZRXUSDT,bitget,2025-06-06T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-06T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-06T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-06T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-06T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-05T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-05T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-05T08:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-05T08:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-05T00:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-05T00:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-04T16:00:00Z,0.0001
ZRXUSDT,bitget,2025-06-04T16:00:00Z,0.0001
ZRXUSDT,gateio,2025-06-04T08:00:00Z,0.000068
ZRXUSDT,bitget,2025-06-04T08:00:00Z,0.0001
